food_name_clean,Descriptionen,Foodgroupen,NOVA_step1,Match_reason
chapati wholemeal brown,"Chapati, wholemeal (brown)","Other breads with >8g/100g fat: naan, chapatis (made with fat), fried papadums, croissants, fried bread",,
aubergine grilled or roasted mashed with oil and tomato baingan bharta,"Aubergine, grilled or roasted, mashed with oil and tomato (Baingan bharta)",White bread/rolls,,
mineral water flavoured no added sugar eg fruit shoot hydro volvic touch of fruit sugar free,"Mineral water, flavoured, no added sugar (e.g. Fruit Shoot Hydro, Volvic touch of fruit sugar free)",Water,4.0,instant/flavoured
white rice eg longgrain including easycook,"White rice, e.g. long-grain (including easy-cook)",Rice,,
cocacola/coke/pepsi,Coca-Cola/Coke/Pepsi,Other carbonated drinks (not diet),,
bottled mineral water still or fizzy,"Bottled mineral water, still or fizzy",Water,,
orange juice 100% fruit eg tropicana,"Orange juice, 100% fruit (e.g. Tropicana)",Fruit juices e.g. fresh orange juice,,
tea,Tea,Tea (excluding added sugar),,
white bread,White bread,White bread/rolls,,
vegetable biryani/pilau rice,Vegetable biryani/pilau rice,Vegetables based rice dishes,,
yam fried mach alu dioscorea species vaga,"Yam, fried (Mach alu (Dioscorea species) vaga)",White bread/rolls,,
coconut milk fresh eg alpro,"Coconut milk, fresh (e.g. Alpro)","Whole milks: includes longlife whole, dried whole & any soya or goats milk",,
bottled mineral water still or fizzy,"Bottled mineral water, still or fizzy",Water,,
side salad eg including lettuce tomato cucumber no dressing,"Side salad (e.g. including lettuce, tomato, cucumber), no dressing","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,
beef/frying steak,Beef/frying steak,Beef and beef dishes,,
beef kebab,Beef kebab,Burgers and kebabs,,
mineral water still or carbonated flavoured with artificial sweetener eg perfectly clear zero sugar,"Mineral water, still or carbonated, flavoured, with artificial sweetener (e.g. Perfectly clear zero sugar",Diet carbonated drinks (includes low calorie drinks),4.0,instant/flavoured
mixed vegetables fried,"Mixed vegetables, fried","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,
mineral water still or carbonated flavoured with artificial sweetener eg perfectly clear zero sugar,"Mineral water, still or carbonated, flavoured, with artificial sweetener (e.g. Perfectly clear zero sugar",Diet carbonated drinks (includes low calorie drinks),4.0,instant/flavoured
chilli chutney / pickle,Chilli chutney / pickle,"Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",,
copy of fruit yoghurt,Copy of Fruit yoghurt,Whole milk yoghurt/fromage frais,,
bread roll white eg hamburger bun,"Bread roll, white (e.g. hamburger bun)",White bread/rolls,,
tomato ketchup reduced salt and sugar,"Tomato ketchup, reduced salt and sugar",Ketchup,4.0,processed ketchup
potato fritters fried,"Potato fritters, fried","Potato products e.g. wedges, waffles, croquettes",,
fried egg,Fried egg,"Eggs: whole egg, white, yolk, dried, boiled, fried, scrambled, omelette, poached",,
chickpea flour balls with sugar and ghee besan ladoo,"Chickpea flour balls, with sugar and ghee (Besan ladoo)",White bread/rolls,,
sri lankan egg roti/paratha made with white chapati flour soaked in oil with egg,"Sri Lankan egg roti/paratha, made with white chapati flour, soaked in oil, with egg","Other breads with >8g/100g fat: naan, chapatis (made with fat), fried papadums, croissants, fried bread",,
apple juice,Apple juice,Fruit juices e.g. fresh orange juice,,
mixed lentil with wheat barley and shredded chicken haleem/ daleem,"Mixed lentil with wheat, barley and shredded chicken (Haleem/ Daleem)",White bread/rolls,,
mineral water flavoured no added sugar eg fruit shoot hydro volvic touch of fruit sugar free,"Mineral water, flavoured, no added sugar (e.g. Fruit Shoot Hydro, Volvic touch of fruit sugar free)",Water,4.0,instant/flavoured
paratha made with white chapati flour and stuffed with minced lamb keema/ qeema paratha,"Paratha, made with white chapati flour and stuffed with minced lamb (Keema/ Qeema paratha)",White bread/rolls,,
chicken biryani,Chicken biryani,Meat based rice dishes,,
beef/frying steak,Beef/frying steak,Beef and beef dishes,,
mixed lentil with wheat barley and shredded mutton haleem/ daleem,"Mixed lentil with wheat, barley and shredded mutton (Haleem/ Daleem)",White bread/rolls,,
butter unsalted,"Butter, unsalted",Butter: includes half fat butter and other animal fats (e.g. lard),,
mineral water flavoured no added sugar eg fruit shoot hydro volvic touch of fruit sugar free,"Mineral water, flavoured, no added sugar (e.g. Fruit Shoot Hydro, Volvic touch of fruit sugar free)",Water,4.0,instant/flavoured
yellow lentils peeli dal,Yellow lentils (Peeli dal),Pulses and lentils,,
mineral water flavoured no added sugar eg fruit shoot hydro volvic touch of fruit sugar free,"Mineral water, flavoured, no added sugar (e.g. Fruit Shoot Hydro, Volvic touch of fruit sugar free)",Water,4.0,instant/flavoured
mineral water flavoured no added sugar eg fruit shoot hydro volvic touch of fruit sugar free,"Mineral water, flavoured, no added sugar (e.g. Fruit Shoot Hydro, Volvic touch of fruit sugar free)",Water,4.0,instant/flavoured
omelette with vegetables,"Omelette, with vegetables","Egg dishes: quiche, flan, scotch eggs",,
rice with lamb raisins and carrot kabuli pulao,"Rice with lamb, raisins and carrot (Kabuli pulao)",White bread/rolls,,
mineral water flavoured no added sugar eg fruit shoot hydro volvic touch of fruit sugar free,"Mineral water, flavoured, no added sugar (e.g. Fruit Shoot Hydro, Volvic touch of fruit sugar free)",Water,4.0,instant/flavoured
tea,Tea,Tea (excluding added sugar),,
condensed milk,Condensed milk,"Milk based sweet puddings: (excluding yoghurts and canned/stewed fruits) e.g. rice pudding, semolina, blancmange, custard, trifles",,
chicken jalfrezi curry,"Chicken jalfrezi, curry",Chicken/Turkey dishes,,
paratha made with white chapati flour and stuffed with minced lamb keema/ qeema paratha,"Paratha, made with white chapati flour and stuffed with minced lamb (Keema/ Qeema paratha)",White bread/rolls,,
beef kebab,Beef kebab,Burgers and kebabs,,
white sugar,White sugar,"Table sugar: demerara, white",,
bottled mineral water still or fizzy,"Bottled mineral water, still or fizzy",Water,,
omelette with vegetables,"Omelette, with vegetables","Egg dishes: quiche, flan, scotch eggs",,
chicken tikka grilled,"Chicken tikka, grilled",Chicken/Turkey dishes,,
chapati white shopbought,"Chapati, white, shop-bought","Other breads <8g/100g fat: bagel, chapatis (made without fat), milk bread, grilled papadums, pitta, rye bread, soda, flour tortillas, crumpets",,
lentil dahl/ curry masar daal gravy,Lentil dahl/ curry (Masar daal gravy),"Vegetable dishes: vegetable curry, vegetable stew",,
cocacola/coke/pepsi,Coca-Cola/Coke/Pepsi,Other carbonated drinks (not diet),,
paratha made with white chapati flour and stuffed with minced lamb keema/ qeema paratha,"Paratha, made with white chapati flour and stuffed with minced lamb (Keema/ Qeema paratha)",White bread/rolls,,
orange juice 100% fruit eg tropicana,"Orange juice, 100% fruit (e.g. Tropicana)",Fruit juices e.g. fresh orange juice,,
whole milk,Whole milk,"Whole milks: includes longlife whole, dried whole & any soya or goats milk",1.0,plain dairy
white bread,White bread,White bread/rolls,,
chapati white,"Chapati, white","Other breads <8g/100g fat: bagel, chapatis (made without fat), milk bread, grilled papadums, pitta, rye bread, soda, flour tortillas, crumpets",,
whole milk,Whole milk,"Whole milks: includes longlife whole, dried whole & any soya or goats milk",1.0,plain dairy
white bread,White bread,White bread/rolls,,
whole milk,Whole milk,"Whole milks: includes longlife whole, dried whole & any soya or goats milk",1.0,plain dairy
baked potato crisps eg walkers,Baked potato crisps (e.g. Walkers),Potato based crisps – low fat,,
chapati white,"Chapati, white","Other breads <8g/100g fat: bagel, chapatis (made without fat), milk bread, grilled papadums, pitta, rye bread, soda, flour tortillas, crumpets",,
chicken/turkey kebab meat pitta and salad,"Chicken/turkey kebab (meat, pitta and salad)",Burgers and kebabs,,
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
minced lamb and potato curry dry aloo qeema,"Minced lamb and potato curry, dry (Aloo qeema)",White bread/rolls,,
chocolate digestive biscuit,"Chocolate digestive, biscuit",Sweet biscuits: excludes full coated biscuits,4.0,snack item
chocolate and nut spread eg nutella,Chocolate and nut spread (e.g Nutella),"Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",4.0,branded sweet spread
butter unsalted,"Butter, unsalted",Butter: includes half fat butter and other animal fats (e.g. lard),,
milkshake / milk drink not chocolate eg strawberry banana,"Milkshake / Milk drink, not chocolate (e.g. strawberry, banana)","Milkshakes: includes purchased & made from powder mix, made with all milk types",1.0,raw
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
mango pickle aam ka achar/ mango achar/ mangai urukai,Mango pickle (Aam ka achar/ Mango achar/ Mangai urukai),White bread/rolls,,
chicken pizza takeaway/restaurant,"Chicken pizza, takeaway/restaurant",Pizza,4.0,fast food
coated chicken breast fillet grilled,"Coated chicken breast fillet, grilled",Chicken/Turkey in breadcrumbs,,
chocolate fudge cake,Chocolate fudge cake,"Cakes: sweet buns, sweet pastries, fruit scones and custard tart (sweet but not savoury based items)",,
boiled egg,Boiled egg,"Eggs: whole egg, white, yolk, dried, boiled, fried, scrambled, omelette, poached",3.0,boiled or mashed
potato crisps eg walkers,Potato crisps (e.g. Walkers),Potato based crisps – full fat,,
paratha wholemeal brown,"Paratha, wholemeal (brown)","Other breads with >8g/100g fat: naan, chapatis (made with fat), fried papadums, croissants, fried bread",,
whole milk,Whole milk,"Whole milks: includes longlife whole, dried whole & any soya or goats milk",1.0,plain dairy
chicken pizza takeaway/restaurant,"Chicken pizza, takeaway/restaurant",Pizza,4.0,fast food
whole milk,Whole milk,"Whole milks: includes longlife whole, dried whole & any soya or goats milk",1.0,plain dairy
chapati wholemeal brown,"Chapati, wholemeal (brown)","Other breads with >8g/100g fat: naan, chapatis (made with fat), fried papadums, croissants, fried bread",,
pitta bread wholemeal brown,"Pitta bread, wholemeal (brown)","Other breads <8g/100g fat: bagel, chapatis (made without fat), milk bread, grilled papadums, pitta, rye bread, soda, flour tortillas, crumpets",,
lamb kebab meat pitta and salad,"Lamb kebab (meat, pitta and salad)",Burgers and kebabs,,
honey,Honey,"Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",,
whole milk,Whole milk,"Whole milks: includes longlife whole, dried whole & any soya or goats milk",1.0,plain dairy
toast wholemeal brown bread,"Toast, wholemeal (brown) bread",Brown and wholemeal bread/rolls,,
chocolate and nut spread eg nutella,Chocolate and nut spread (e.g Nutella),"Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",4.0,branded sweet spread
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
coated chicken pieces fried,"Coated chicken pieces, fried",Chicken in batter,,
lentil dahl/ curry masar daal gravy,Lentil dahl/ curry (Masar daal gravy),"Vegetable dishes: vegetable curry, vegetable stew",,
whole milk,Whole milk,"Whole milks: includes longlife whole, dried whole & any soya or goats milk",1.0,plain dairy
chocolate chip cookie,Chocolate chip cookie,Sweet biscuits: excludes full coated biscuits,,
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
butter unsalted,"Butter, unsalted",Butter: includes half fat butter and other animal fats (e.g. lard),,
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
potato crisps eg walkers,Potato crisps (e.g. Walkers),Potato based crisps – full fat,,
pitta bread wholemeal brown,"Pitta bread, wholemeal (brown)","Other breads <8g/100g fat: bagel, chapatis (made without fat), milk bread, grilled papadums, pitta, rye bread, soda, flour tortillas, crumpets",,
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
chocolate chip cookie,Chocolate chip cookie,Sweet biscuits: excludes full coated biscuits,,
butter unsalted,"Butter, unsalted",Butter: includes half fat butter and other animal fats (e.g. lard),,
whole milk,Whole milk,"Whole milks: includes longlife whole, dried whole & any soya or goats milk",1.0,plain dairy
toast wholemeal brown bread,"Toast, wholemeal (brown) bread",Brown and wholemeal bread/rolls,,
chicken goujon/nugget/dipper in breadcrumb or batter,"Chicken goujon/nugget/dipper, in breadcrumb or batter",Chicken/Turkey in breadcrumbs,,
butter unsalted,"Butter, unsalted",Butter: includes half fat butter and other animal fats (e.g. lard),,
whole milk,Whole milk,"Whole milks: includes longlife whole, dried whole & any soya or goats milk",1.0,plain dairy
potato crisps eg walkers,Potato crisps (e.g. Walkers),Potato based crisps – full fat,,
honey,Honey,"Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",,
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
chicken/turkey kebab,Chicken/turkey kebab,Burgers and kebabs,,
lamb curry mince keema,"Lamb curry, mince (Keema)",White bread/rolls,,
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
chapati wholemeal brown without oil homemade,"Chapati, wholemeal (brown), without oil, homemade","Other breads <8g/100g fat: bagel, chapatis (made without fat), milk bread, grilled papadums, pitta, rye bread, soda, flour tortillas, crumpets",3.0,homemade item
cheese and tomato pizza eg margherita,Cheese and tomato pizza (e.g. Margherita),Pizza,,
custard ready to serve,"Custard, ready to serve","Milk based sweet puddings: (excluding yoghurts and canned/stewed fruits) e.g. rice pudding, semolina, blancmange, custard, trifles",,
semi skimmed milk,Semi skimmed milk,Semi-skimmed milks: includes longlife semi-skimmed,,
mayonnaisebased dip eg garlic dip,Mayonnaise-based dip (e.g. garlic dip),"Other sauces e.g. vinegar, salad cream, tartare sauce, cook-in-canned sauce",,
banana,Banana,Fresh fruit,,
potato waffles grilled/baked,"Potato waffles, grilled/baked","Potato products e.g. wedges, waffles, croquettes",,
candy coated chocolate drops eg mini eggs,Candy coated chocolate drops (e.g. mini eggs),"Chocolate: includes all plain, milk & white chocolate bars & coated bars e.g. caramels & wafers and full coated chocolate biscuits",,
kellogg's rice krispies cereal bar,Kellogg's Rice krispies cereal bar,"Breakfast alternatives: nutrigrain bar, pop tart, breakfast cereal bars",,
kellogg's frosties,Kellogg's Frosties,High sugar breakfast cereals: sugar content above 30g total sugar per 100g,,
single strength squash with added sugar not diluted eg vimto miwadi,"Single strength squash, with ADDED SUGAR, not diluted (e.g. Vimto, Miwadi)",Other cordials and squashes: excluding low calorie & reduced sugar,4.0,sweetened drink
blackcurrant squash high juice no added sugar diluted,"Blackcurrant squash , high juice, no added sugar, diluted",Cordials & squashes: reduced sugar or low calorie squashes,4.0,sweetened drink
tomato ketchup,Tomato ketchup,Ketchup,4.0,processed ketchup
semi skimmed milk,Semi skimmed milk,Semi-skimmed milks: includes longlife semi-skimmed,,
chocolate sponge cake with no filling,Chocolate sponge cake with no filling,"Cakes: sweet buns, sweet pastries, fruit scones and custard tart (sweet but not savoury based items)",,
chicken goujon/nugget/dipper in breadcrumb or batter,"Chicken goujon/nugget/dipper, in breadcrumb or batter",Chicken/Turkey in breadcrumbs,,
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
chocolate coated cake bar individual,"Chocolate coated cake bar, individual","Cakes: sweet buns, sweet pastries, fruit scones and custard tart (sweet but not savoury based items)",,
spaghetti/tagliatelle pasta white or tricolore,"Spaghetti/tagliatelle (pasta), white or tricolore",Pasta,,
potato wedges,Potato wedges,"Potato products e.g. wedges, waffles, croquettes",,
milkshake / milk drink chocolate flavour,"Milkshake / Milk drink, chocolate flavour","Whole milks: includes longlife whole, dried whole & any soya or goats milk",4.0,dessert/snack item
mushrooms,Mushrooms,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,
curry sauce eg balti/jalfrezi,Curry sauce (e.g. balti/jalfrezi),"Other sauces e.g. vinegar, salad cream, tartare sauce, cook-in-canned sauce",,
egg fried rice including takeaway,Egg fried rice (including takeaway),Rice,4.0,fast food
single strength squash with added sugar not diluted eg vimto miwadi,"Single strength squash, with ADDED SUGAR, not diluted (e.g. Vimto, Miwadi)",Other cordials and squashes: excluding low calorie & reduced sugar,4.0,sweetened drink
fried egg,Fried egg,"Eggs: whole egg, white, yolk, dried, boiled, fried, scrambled, omelette, poached",,
bacon unsmoked fried including fat,"Bacon, unsmoked, fried (including fat)",Bacon and ham,,
single strength squash with added sugar not diluted eg vimto miwadi,"Single strength squash, with ADDED SUGAR, not diluted (e.g. Vimto, Miwadi)",Other cordials and squashes: excluding low calorie & reduced sugar,4.0,sweetened drink
vegetable pancake,Vegetable pancake,"Cereal based savouries with vegetable or meat additions: bhajis, samosas, pakora, prawn toasts, spring rolls, meat filled spring roll",,
toast white bread,"Toast, white bread",White bread/rolls,,
egg noodles,Egg noodles,Noodles and noodle dishes,,
semi skimmed milk,Semi skimmed milk,Semi-skimmed milks: includes longlife semi-skimmed,,
multigrain hoops cheerios supermarket brands,"Multigrain hoops (cheerios), supermarket brands","Sugar coated breakfast cereals: sugar puffs, frosties",,
cookie crisp/crunch cereal including nestle supermarket brands,"Cookie crisp/crunch cereal (including Nestle, supermarket brands)","Sugar coated breakfast cereals: sugar puffs, frosties",,
semi skimmed milk,Semi skimmed milk,Semi-skimmed milks: includes longlife semi-skimmed,,
raspberries,Raspberries,Fresh fruit,,
lightest spreadable butter eg lurpak sainsbury’s buttersoft light,"Lightest spreadable butter (e.g. Lurpak, Sainsbury’s Buttersoft Light)",Butter: includes half fat butter and other animal fats (e.g. lard),,
hash browns grilled / baked,"Hash browns, grilled / baked","Potato products e.g. wedges, waffles, croquettes",,
melon watermelon,"Melon, watermelon",Fresh fruit,,
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
tangerines / mandarins / clementines/ satsumas,Tangerines / mandarins / clementines/ satsumas,Fresh fruit,,
prawn crackers,Prawn crackers,"Non-potato snacks e.g. pretzels, tortilla crisps",1.0,raw
blackcurrant juice drink ready to drink,"Blackcurrant juice drink, ready to drink",Other cordials and squashes: excluding low calorie & reduced sugar,,
tangerines / mandarins / clementines/ satsumas,Tangerines / mandarins / clementines/ satsumas,Fresh fruit,,
tangerines / mandarins / clementines/ satsumas,Tangerines / mandarins / clementines/ satsumas,Fresh fruit,,
butter salted,"Butter, salted",Butter: includes half fat butter and other animal fats (e.g. lard),,
biscuits filled with cream eg bourbons fox's crunch creams,"Biscuits filled with cream (e.g. bourbons, Fox's crunch creams)",Sweet biscuits: excludes full coated biscuits,4.0,snack item
butter salted,"Butter, salted",Butter: includes half fat butter and other animal fats (e.g. lard),,
maple syrup,Maple syrup,"Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",,
semi skimmed milk,Semi skimmed milk,Semi-skimmed milks: includes longlife semi-skimmed,,
fruit yoghurt,Fruit yoghurt,Whole milk yoghurt/fromage frais,,
porridge made with semi skimmed milk,"Porridge, made with semi skimmed milk","Other breakfast cereals: muesli, bran flakes",,
ham sandwich with white/malted bread,Ham sandwich with white/malted bread,"Cereal based savouries with vegetable or meat additions: bhajis, samosas, pakora, prawn toasts, spring rolls, meat filled spring roll",,
semi skimmed milk,Semi skimmed milk,Semi-skimmed milks: includes longlife semi-skimmed,,
crumpet / pikelet,Crumpet / pikelet,"Other breads <8g/100g fat: bagel, chapatis (made without fat), milk bread, grilled papadums, pitta, rye bread, soda, flour tortillas, crumpets",,
vimto still,"Vimto, still","Fruit drink, ready to drink (sweetened)e.g. sunny delight, umbongo, five alive",,
vimto still,"Vimto, still","Fruit drink, ready to drink (sweetened)e.g. sunny delight, umbongo, five alive",,
toast white bread,"Toast, white bread",White bread/rolls,,
vimto still,"Vimto, still","Fruit drink, ready to drink (sweetened)e.g. sunny delight, umbongo, five alive",,
cookie crisp/crunch cereal including nestle supermarket brands,"Cookie crisp/crunch cereal (including Nestle, supermarket brands)","Sugar coated breakfast cereals: sugar puffs, frosties",,
cheese and tomato pizza eg margherita,Cheese and tomato pizza (e.g. Margherita),Pizza,,
semi skimmed milk,Semi skimmed milk,Semi-skimmed milks: includes longlife semi-skimmed,,
toast oatmeal bread,"Toast, oatmeal bread","Other breads <8g/100g fat: bagel, chapatis (made without fat), milk bread, grilled papadums, pitta, rye bread, soda, flour tortillas, crumpets",,
baked beans,Baked beans,Baked beans,,
apple skin eaten,"Apple, skin eaten",Fresh fruit,,
fried egg,Fried egg,"Eggs: whole egg, white, yolk, dried, boiled, fried, scrambled, omelette, poached",,
semi skimmed milk,Semi skimmed milk,Semi-skimmed milks: includes longlife semi-skimmed,,
mayonnaisebased dip eg garlic dip,Mayonnaise-based dip (e.g. garlic dip),"Other sauces e.g. vinegar, salad cream, tartare sauce, cook-in-canned sauce",,
chicken goujon/nugget/dipper in breadcrumb or batter,"Chicken goujon/nugget/dipper, in breadcrumb or batter",Chicken/Turkey in breadcrumbs,,
chocolate squares/pillows breakfast cereal supermarket brands,"Chocolate squares/pillows, breakfast cereal, supermarket brands","Other breakfast cereals: muesli, bran flakes",4.0,dessert/snack item
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
tangerines / mandarins / clementines/ satsumas,Tangerines / mandarins / clementines/ satsumas,Fresh fruit,,
chips french fries/fine cut fried from frozen,"Chips, french fries/fine cut, fried (from frozen)",Fried chips,,
vimto still,"Vimto, still","Fruit drink, ready to drink (sweetened)e.g. sunny delight, umbongo, five alive",,
cornetto/king cone including supermarket brands,Cornetto/king cone (Including supermarket brands),"Ice cream, ice cream desserts and lollies",,
cadbury cream / crème egg,Cadbury cream / crème egg,"Chocolate: includes all plain, milk & white chocolate bars & coated bars e.g. caramels & wafers and full coated chocolate biscuits",,
pork sausage grilled,"Pork sausage, grilled",Sausages,,
butter salted,"Butter, salted",Butter: includes half fat butter and other animal fats (e.g. lard),,
tea,Tea,Tea (excluding added sugar),,
cheddar cheese,Cheddar cheese,"Other cheese: edam, cheddar",,
fat spread/margarine brand/type unknown,"Fat spread/margarine, brand/type unknown",Dairy fat spreads includes hard marg,4.0,processed fat
porridge made with whole milk,"Porridge, made with whole milk","Other breakfast cereals: muesli, bran flakes",1.0,plain dairy
50/50 bread eg kingsmill warburtons,"50/50 bread (e.g. Kingsmill, Warburtons)",Brown and wholemeal bread/rolls,,
pork sausage grilled,"Pork sausage, grilled",Sausages,,
childrens' chewable vitamins with vitamin a 200ug c 40mg d 75ug e 6mg pastel,"Childrens' chewable vitamins with vitamin A (200ug), C (40mg), D (7.5ug), E (6mg), pastel",Misc,,
vegetarian meatballs eg quorn meatballs,Vegetarian meatballs (e.g. Quorn meatballs),Quorn/TVP and dishes,,
fat spread/margarine brand/type unknown,"Fat spread/margarine, brand/type unknown",Dairy fat spreads includes hard marg,4.0,processed fat
banana,Banana,Fresh fruit,,
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
cranberry sauce,Cranberry sauce,"Other sauces e.g. vinegar, salad cream, tartare sauce, cook-in-canned sauce",,
gravy,Gravy,Gravy,,
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
baked beans,Baked beans,Baked beans,,
fruit squash / juice no added sugar diluted,"Fruit squash / juice, no added sugar, diluted",Cordials & squashes: reduced sugar or low calorie squashes,4.0,sweetened drink
fruit yoghurt,Fruit yoghurt,Whole milk yoghurt/fromage frais,,
roast potatoes,Roast potatoes,Roast potatoes,,
blackcurrant squash / juice no added sugar diluted,"Blackcurrant squash / juice, no added sugar, diluted",Cordials & squashes: reduced sugar or low calorie squashes,4.0,sweetened drink
green beans/french beans,Green beans/French beans,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,
carrots,Carrots,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,
bear yoyo pure fruit rolls,Bear yoyo (pure fruit rolls),Dried fruit,,
sweetcorn / sweet corn cooked,"Sweetcorn / sweet corn, cooked","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,
toast white bread,"Toast, white bread",White bread/rolls,,
peas cooked from frozen,"Peas, cooked from frozen","Peas: frozen, fresh, canned, dried & split",,
milk chocolate buttons,Milk chocolate buttons,"Chocolate: includes all plain, milk & white chocolate bars & coated bars e.g. caramels & wafers and full coated chocolate biscuits",,
porridge made with whole milk,"Porridge, made with whole milk","Other breakfast cereals: muesli, bran flakes",1.0,plain dairy
sweet waffle grilled,"Sweet waffle, grilled","Other breads with >8g/100g fat: naan, chapatis (made with fat), fried papadums, croissants, fried bread",,
cucumber,Cucumber,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,
blackcurrant squash / juice no added sugar diluted,"Blackcurrant squash / juice, no added sugar, diluted",Cordials & squashes: reduced sugar or low calorie squashes,4.0,sweetened drink
spring onions,Spring onions,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,
carrots raw,"Carrots, raw","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",1.0,raw
ham not smoked,"Ham, not smoked",Bacon and ham,,
childrens' chewable vitamins with vitamin a 200ug c 40mg d 75ug e 6mg pastel,"Childrens' chewable vitamins with vitamin A (200ug), C (40mg), D (7.5ug), E (6mg), pastel",Misc,,
chocolate chip cookie,Chocolate chip cookie,Sweet biscuits: excludes full coated biscuits,,
pasta shapes white/tricolore,"Pasta shapes, white/tricolore",Pasta,,
banana,Banana,Fresh fruit,,
quark,Quark,"Lower fat cheese: cottage cheese, reduced fat, low fat cheese spreads",,
apple skin not eaten,"Apple, skin not eaten",Fresh fruit,,
white bread,White bread,White bread/rolls,,
cheddar cheese,Cheddar cheese,"Other cheese: edam, cheddar",,
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
pom bears crisps,Pom Bears (crisps),Potato based crisps – full fat,,
carrots,Carrots,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,
blackcurrant squash / juice no added sugar diluted,"Blackcurrant squash / juice, no added sugar, diluted",Cordials & squashes: reduced sugar or low calorie squashes,4.0,sweetened drink
broccoli boiled,"Broccoli, boiled","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",3.0,boiled or mashed
lightest spreadable butter eg lurpak sainsbury’s buttersoft light,"Lightest spreadable butter (e.g. Lurpak, Sainsbury’s Buttersoft Light)",Butter: includes half fat butter and other animal fats (e.g. lard),,
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
porridge made with whole milk,"Porridge, made with whole milk","Other breakfast cereals: muesli, bran flakes",1.0,plain dairy
blackcurrant squash / juice with added sugar diluted,"Blackcurrant squash / juice, with ADDED SUGAR, diluted",Other cordials and squashes: excluding low calorie & reduced sugar,4.0,sweetened drink
copy of fruit yoghurt,Copy of Fruit yoghurt,Whole milk yoghurt/fromage frais,,
garlic bread,Garlic bread,"Other breads with >8g/100g fat: naan, chapatis (made with fat), fried papadums, croissants, fried bread",,
oven chips,Oven chips,Oven chips,,
fat spread/margarine brand/type unknown,"Fat spread/margarine, brand/type unknown",Dairy fat spreads includes hard marg,4.0,processed fat
